business_date,store_id,department,scheduled_hours
2026-05-28,1003,meat,15.6
2026-05-28,1003,bakery,15.5
2026-05-28,1003,grocery,22.0
2026-05-28,1003,frozen,13.6
2026-05-29,1001,produce,15.7
2026-05-29,1001,dairy,13.8
2026-05-29,1001,meat,12.1
2026-05-29,1001,bakery,12.8
2026-05-29,1001,grocery,23.8
2026-05-29,1001,frozen,12.8
2026-05-29,1002,produce,16.5
2026-05-29,1002,dairy,13.9
2026-05-29,1002,meat,16.0
2026-05-29,1002,bakery,14.1
2026-05-29,1002,grocery,22.7
2026-05-29,1002,frozen,13.2
2026-05-29,1003,produce,15.5
2026-05-29,1003,dairy,12.3
2026-05-29,1003,meat,16.0
2026-05-29,1003,bakery,15.9
2026-05-29,1003,grocery,22.4
2026-05-29,1003,frozen,13.9
2026-05-30,1001,produce,16.7
2026-05-30,1001,dairy,14.5
2026-05-30,1001,meat,14.7
2026-05-30,1001,bakery,14.7
2026-05-30,1001,grocery,24.2
2026-05-30,1001,frozen,17.7
2026-05-30,1002,produce,14.4
2026-05-30,1002,dairy,16.9
2026-05-30,1002,meat,14.8
2026-05-30,1002,bakery,18.0
2026-05-30,1002,grocery,26.9
2026-05-30,1002,frozen,14.5
2026-05-30,1003,produce,14.6
2026-05-30,1003,dairy,16.3
2026-05-30,1003,meat,17.0
2026-05-30,1003,bakery,16.7
2026-05-30,1003,grocery,27.7
2026-05-30,1003,frozen,17.9
2026-05-31,1001,produce,17.7
2026-05-31,1001,dairy,18.0
2026-05-31,1001,meat,15.9
2026-05-31,1001,bakery,17.5
2026-05-31,1001,grocery,24.7
2026-05-31,1001,frozen,18.4
2026-05-31,1002,produce,16.9
2026-05-31,1002,dairy,15.3
2026-05-31,1002,meat,18.2
2026-05-31,1002,bakery,17.3
2026-05-31,1002,grocery,24.1
2026-05-31,1002,frozen,17.2
2026-05-31,1003,produce,15.5
2026-05-31,1003,dairy,15.4
2026-05-31,1003,meat,14.4
2026-05-31,1003,bakery,16.4
2026-05-31,1003,grocery,26.9
2026-05-31,1003,frozen,17.2
2026-06-01,1001,produce,15.0
2026-06-01,1001,dairy,15.4
2026-06-01,1001,meat,15.1
2026-06-01,1001,bakery,12.4
2026-06-01,1001,grocery,21.7
2026-06-01,1001,frozen,14.0
2026-06-01,1002,produce,14.3
2026-06-01,1002,dairy,12.1
2026-06-01,1002,meat,13.5
2026-06-01,1002,bakery,12.3
2026-06-01,1002,grocery,22.5
2026-06-01,1002,frozen,14.9
2026-06-01,1003,produce,14.4
2026-06-01,1003,dairy,15.1
2026-06-01,1003,meat,13.0
2026-06-01,1003,bakery,15.8
2026-06-01,1003,grocery,23.3
2026-06-01,1003,frozen,14.3
2026-06-02,1001,produce,15.5
2026-06-02,1001,dairy,14.4
2026-06-02,1001,meat,16.0
2026-06-02,1001,bakery,15.9
2026-06-02,1001,grocery,24.2
2026-06-02,1001,frozen,13.2
2026-06-02,1002,produce,15.0
2026-06-02,1002,dairy,12.7
2026-06-02,1002,meat,16.3
2026-06-02,1002,bakery,13.2
2026-06-02,1002,grocery,22.4
2026-06-02,1002,frozen,12.9
2026-06-02,1003,produce,13.5
2026-06-02,1003,dairy,16.4
2026-06-02,1003,meat,16.0
2026-06-02,1003,bakery,12.5
2026-06-02,1003,grocery,22.0
2026-06-02,1003,frozen,14.4
2026-06-03,1001,produce,16.1
2026-06-03,1001,dairy,12.1
2026-06-03,1001,meat,12.0
2026-06-03,1001,bakery,14.2
2026-06-03,1001,grocery,23.5
2026-06-03,1001,frozen,16.1
2026-06-03,1002,produce,14.1
2026-06-03,1002,dairy,14.2
2026-06-03,1002,meat,15.3
2026-06-03,1002,bakery,12.0
2026-06-03,1002,grocery,21.9
2026-06-03,1002,frozen,15.0
2026-06-03,1003,produce,14.0
2026-06-03,1003,dairy,16.4
2026-06-03,1003,meat,13.1
2026-06-03,1003,bakery,14.1
2026-06-03,1003,grocery,20.6
2026-06-03,1003,frozen,14.7
2026-06-04,1001,produce,12.0
2026-06-04,1001,dairy,13.9
2026-06-04,1001,meat,14.2
2026-06-04,1001,bakery,15.8
2026-06-04,1001,grocery,22.9
2026-06-04,1001,frozen,12.8
2026-06-04,1002,produce,12.4
2026-06-04,1002,dairy,12.7
2026-06-04,1002,meat,13.3
2026-06-04,1002,bakery,14.4
2026-06-04,1002,grocery,22.3
2026-06-04,1002,frozen,14.5
2026-06-04,1003,produce,15.0
2026-06-04,1003,dairy,12.5
2026-06-04,1003,meat,13.8
2026-06-04,1003,bakery,14.6
2026-06-04,1003,grocery,20.2
2026-06-04,1003,frozen,16.0
